Region,Count,Latitude,Longitude
Guwahati,140,26.1429809,91.5627973
Muzaffarpur,116,26.1203917,85.316174
Patna,439,25.6079707,85.0029573
Ghaziabad,204,28.699581,77.254943
New Delhi,1558,28.5272181,77.0688997
Noida,221,28.5166817,77.2580446
Ahmedabad,355,23.0199968,72.2995501
Surat,281,21.1591425,72.6822102
Vadodara,127,22.3220425,73.0330003
Faridabad,139,28.4024636,77.1789888
Gorakhpur,138,29.4467165,75.6636035
Gurugram,249,28.4228859,76.8496963
Ranchi,146,23.3431425,85.1812404
Bangalore,313,12.9538477,77.3507442
Bengaluru,1075,12.9538477,77.3507442
Ernakulam,119,9.9708673,76.2382528
Bhopal,169,23.1993477,77.2658056
Indore,193,22.7239117,75.723764
Aurangabad,167,19.8700415,75.1651153
Kalyan,135,19.2405342,73.0951299
Mumbai,819,19.0821978,72.7411
Nagpur,179,21.1610282,78.9324241
Nashik,113,19.990908,73.6633947
Navi Mumbai,211,19.0162992,72.893075
Pimpri Chinchwad,118,18.6406433,73.6520582
Pune,557,18.5245649,73.7228812
Thane,218,19.2138786,72.9314198
Ludhiana,109,30.9002697,75.7165881
Jaipur,333,26.8851417,75.6504723
Chennai,1005,13.0474878,80.0689252
Coimbatore,197,11.0116775,76.8271484
East Godavari District,106,17.1543984,80.6189602
Hyderabad,1136,17.4121531,78.1278513
Agra,125,27.1761049,77.8399274
Allahabad,161,25.4021974,81.6614988
Kanpur,217,26.4471054,80.1982971
Lucknow,386,26.848623,80.8024272
Varanasi,169,25.3207461,82.9210686
Howrah,114,22.5565568,87.895755
Kolkata,849,22.6757521,88.0495361
Murshidabad District,102,24.2874422,87.7199405
North Twenty Four Parganas District,113,22.6823617,88.1551184
